Problems,Time_OR-Tools,Time_Solver-CPython,Total_value,Total_weight
10_50_1_1_5,9.621002391213551e-06,0.00032727100187912583,123,51
10_50_1_2_5,1.2632001016754657e-05,0.0005583040001511108,127,84
10_50_1_3_5,1.3180000678403303e-05,0.0005532779978238977,167,80
10_50_1_4_5,1.6095000319182873e-05,0.0007674600019527134,222,116
10_50_1_5_5,2.204100019298494e-05,0.0015254009995260276,244,240
10_50_2_1_5,7.957998604979366e-06,0.00028604199906112626,64,51
10_50_2_2_5,1.1336000170558691e-05,0.0005038819981564302,91,84
10_50_2_3_5,9.882998710963875e-06,0.0005510699993465096,91,83
10_50_2_4_5,1.3075001334073022e-05,0.0007644530014658812,123,114
10_50_2_5_5,2.0208000933052972e-05,0.001527410997368861,243,238
10_50_3_1_5,7.139002264011651e-06,0.00027627799863694236,81,51
10_50_3_2_5,9.123999916482717e-06,0.0005381029986892827,139,89
10_50_3_3_5,1.1512998753460124e-05,0.0006817840003350284,167,107
10_50_3_4_5,1.787699875421822e-05,0.0009559940008330159,224,144
10_50_3_5_5,2.0850999135291204e-05,0.0014269919993239455,309,219
10_50_4_1_5,6.489000952569768e-06,0.0002728420004132204,51,51
10_50_4_2_5,9.431998478248715e-06,0.0005423829970823135,90,90
10_50_4_3_5,1.06229999801144e-05,0.0006968810012040194,107,107
10_50_4_4_5,1.4358000044012442e-05,0.0010032940008386504,148,148
10_50_4_5_5,2.010200114455074e-05,0.0014997459984442685,220,220
10_100_1_1_5,8.107999747153372e-06,0.000556311002583243,281,100
10_100_1_2_5,1.4252000255510211e-05,0.00120794900067267,302,201
10_100_1_3_5,1.1706997611327097e-05,0.0009124190000875387,438,124
10_100_1_4_5,3.643400123110041e-05,0.0024917019982240163,528,329
10_100_1_5_5,3.751500116777606e-05,0.003551098001480568,631,414
10_100_2_1_5,9.241000952897593e-06,0.0005726759991375729,126,101
10_100_2_2_5,1.3930999557487667e-05,0.0012129250026191585,215,198
10_100_2_3_5,1.0717998520703986e-05,0.0008777459988777991,170,134
10_100_2_4_5,2.514699735911563e-05,0.002236811000329908,357,343
10_100_2_5_5,2.7498001145431772e-05,0.003517322998959571,505,484
10_100_3_1_5,7.480997737729922e-06,0.0005209599985391833,128,98
10_100_3_2_5,1.4970002666814253e-05,0.0010973300013574772,235,185
10_100_3_3_5,1.7574002413311973e-05,0.0011216929997317493,252,182
10_100_3_4_5,2.9061997338430956e-05,0.0028983030024392065,484,414
10_100_3_5_5,4.285399700165726e-05,0.003556412000762066,591,511
10_100_4_1_5,6.99500014889054e-06,0.0005228480004006997,98,98
10_100_4_2_5,1.37290007842239e-05,0.001114537000830751,190,190
10_100_4_3_5,1.5224999515339732e-05,0.0014294339998741634,182,182
10_100_4_4_5,3.523800114635378e-05,0.00274069900115137,414,414
10_100_4_5_5,6.873100210214034e-05,0.003733028002898209,511,511
10_500_1_1_5,1.37290007842239e-05,0.0031449180023628287,1104,472
10_500_1_2_5,3.053299951716326e-05,0.005752098000812111,1598,718
10_500_1_3_5,4.412199996295385e-05,0.008240174000093248,1501,1170
10_500_1_4_5,9.038400094141252e-05,0.014023929998074891,2589,1942
10_500_1_5_5,0.00013364099868340418,0.01706780599852209,1943,2307
10_500_2_1_5,1.09329994302243e-05,0.0026928619990940206,541,495
10_500_2_2_5,2.5663000997155905e-05,0.00477350000073784,847,728
10_500_2_3_5,4.409000030136667e-05,0.00797391300147865,1233,1183
10_500_2_4_5,7.642799755558372e-05,0.01423683399843867,1996,1946
10_500_2_5_5,0.00011897500007762574,0.01720100700185867,2418,2307
10_500_3_1_5,1.1657000868581235e-05,0.00314216499828035,565,545
10_500_3_2_5,2.6173001970164478e-05,0.004951465998601634,838,788
10_500_3_3_5,4.717499905382283e-05,0.007545731001300737,1092,1032
10_500_3_4_5,0.00011117500253021717,0.014984928999183467,2077,2007
10_500_3_5_5,0.0001275850008823909,0.04223226600151975,2342,2262
10_500_4_1_5,1.7147001926787198e-05,0.00764358200103743,545,545
10_500_4_2_5,3.61380007234402e-05,0.00564281600236427,788,788
10_500_4_3_5,4.771399835590273e-05,0.006651478001003852,1032,1032
10_500_4_4_5,9.0409997937968e-05,0.01368810200074222,2013,2013
10_500_4_5_5,0.00011927099694730714,0.01545779500156641,2262,2262
10_1000_1_1_5,1.956000050995499e-05,0.005743077999795787,1185,931
10_1000_1_2_5,5.182500171940774e-05,0.011605966999923112,3009,1753
10_1000_1_3_5,6.566299998667091e-05,0.014288088998000603,3725,2152
10_1000_1_4_5,0.00015957100185914896,0.02482133699959377,5794,3531
10_1000_1_5_5,0.00026077800066559575,0.036290055002609733,3376,4799
10_1000_2_1_5,1.9866998627549037e-05,0.005743017998611322,1052,931
10_1000_2_2_5,4.041099964524619e-05,0.012036161999276374,2139,1898
10_1000_2_3_5,6.360000043059699e-05,0.014337427001009928,2148,2181
10_1000_2_4_5,0.00014604900206904858,0.02589647700006026,3692,3539
10_1000_2_5_5,0.0002346559995203279,0.0375063899991801,5421,5174
10_1000_3_1_5,1.9709998014150187e-05,0.005779836999863619,1156,1136
10_1000_3_2_5,4.327000351622701e-05,0.015046463002363453,1983,1953
10_1000_3_3_5,6.664600005024113e-05,0.010951180996926269,1589,1529
10_1000_3_4_5,0.00020396699983393773,0.03673624599832692,4740,4670
10_1000_3_5_5,0.00025918299797922373,0.03214066800137516,4413,4323
10_1000_4_1_5,1.9696002709679306e-05,0.005991652000375325,1136,1136
10_1000_4_2_5,4.4022999645676464e-05,0.01289634900240344,1953,1953
10_1000_4_3_5,8.035499922698364e-05,0.01086321900220355,1532,1532
10_1000_4_4_5,0.0001902069998322986,0.03512887299802969,4676,4676
10_1000_4_5_5,0.00023316000078921206,0.03216383299877634,4331,4331
50_50_1_1_5,0.00012227799743413925,0.00823366199983866,563,181
50_50_1_2_5,0.0003118310014542658,0.014307397999800742,802,406
50_50_1_3_5,0.0004353740005171858,0.020294410998758394,1052,539
50_50_1_4_5,0.0006840489986643661,0.030205029997887323,1283,726
50_50_1_5_5,0.0012991399999009445,0.04124863700053538,1209,1024
50_50_2_1_5,0.00010146600106963888,0.005942802999925334,241,181
50_50_2_2_5,0.00028930800181115046,0.014225184997485485,466,406
50_50_2_3_5,0.00047116700079641305,0.019255333998444257,599,541
50_50_2_4_5,0.0007645350015081931,0.027231293999648187,796,730
50_50_2_5_5,0.001308611001149984,0.03868112499912968,1082,1035
50_50_3_1_5,0.00016613099796813913,0.006817263001721585,412,212
50_50_3_2_5,0.00042277899774489924,0.014832871998805786,692,402
50_50_3_3_5,0.0006172160028654616,0.020568203999573598,897,537
50_50_3_4_5,0.0009569600006216206,0.031167297998763388,1240,840
50_50_3_5_5,0.0016065910022007301,0.052406236001843354,1643,1203
50_50_4_1_5,2.8820999432355165e-05,0.006921026000782149,212,212
50_50_4_2_5,9.44540006457828e-05,0.01865725800234941,402,402
50_50_4_3_5,0.00023844400129746646,0.019128511001326842,537,537
50_50_4_4_5,0.000506404998304788,0.02990543499981868,840,840
50_50_4_5_5,0.0008611400007794145,0.05522123599803308,1203,1203
50_100_1_1_5,0.00022172299941303208,0.012170353998953942,1493,362
50_100_1_2_5,0.0007109510006557684,0.02942568599974038,1629,812
50_100_1_3_5,0.0007792899996275082,0.04090442999950028,2088,1035
50_100_1_4_5,0.0015001510000729468,0.0620126470021205,2449,1595
50_100_1_5_5,0.0026003170023614075,0.08560091699837358,2587,2236
50_100_2_1_5,0.00022236199947656132,0.01289743599772919,481,373
50_100_2_2_5,0.000566269998671487,0.030288213001767872,944,823
50_100_2_3_5,0.0008346490030817222,0.038273820999165764,1194,1041
50_100_2_4_5,0.0016986279988486785,0.057410157001868356,1735,1597
50_100_2_5_5,0.0024653429973113816,0.08296173599956091,2355,2244
50_100_3_1_5,0.00025945100060198456,0.014578726000763709,610,420
50_100_3_2_5,0.0008248350022768136,0.032699468996725045,1156,886
50_100_3_3_5,0.0011736269989341963,0.0409913539988338,1462,1112
50_100_3_4_5,0.0024269819987239316,0.06935348799743224,2230,1840
50_100_3_5_5,0.0035264559992356226,0.09397419299784815,2851,2411
50_100_4_1_5,4.7789999371161684e-05,0.013729376998526277,420,420
50_100_4_2_5,0.00019344899919815361,0.0450192190000962,886,886
50_100_4_3_5,0.0004586120012390893,0.038981767000223044,1112,1112
50_100_4_4_5,0.0010983440006384626,0.06635784399986733,1840,1840
50_100_4_5_5,0.0018613540014484897,0.08798076699895319,2411,2411
50_500_1_1_5,0.0008380039980693255,0.0801283799992234,5860,2251
50_500_1_2_5,0.002440356998704374,0.1773249880025105,7733,4700
50_500_1_3_5,0.005234874999587191,0.2405652529996587,8846,6433
50_500_1_4_5,0.007670762002817355,0.3314329330023611,10495,8201
50_500_1_5_5,0.012748073000693694,0.36555449300067266,12184,9108
50_500_2_1_5,0.0007108380013960414,0.0775950550014386,2645,2249
50_500_2_2_5,0.002083641997160157,0.18944217300304445,5336,4722
50_500_2_3_5,0.005145765997440321,0.2729340779987979,6925,6439
50_500_2_4_5,0.0085380089985847,0.37331551399984164,8773,8262
50_500_2_5_5,0.010787996998260496,0.3952995159997954,9873,9157
50_500_3_1_5,0.0017115590017056093,0.14106293499935418,2415,2235
50_500_3_2_5,0.006739304000802804,0.224568891000672,4632,4352
50_500_3_3_5,0.009352405002573505,0.39682196399735403,6262,5912
50_500_3_4_5,0.01767171299798065,0.6218360750026477,9040,8640
50_500_3_5_5,0.019156887999997707,0.48026411899991217,10445,9995
50_500_4_1_5,0.0002511349994165357,0.07703511700310628,2237,2237
50_500_4_2_5,0.0010661289998097345,0.1963419010025973,4352,4352
50_500_4_3_5,0.0022614260014961474,0.24480765599946608,5912,5912
50_500_4_4_5,0.005220535000262316,0.3170951469983265,8640,8640
50_500_4_5_5,0.00873462399977143,0.3792158370015386,9995,9995
50_1000_1_1_5,0.0024009389999264386,0.18507120499998564,10281,5073
50_1000_1_2_5,0.005340646999684395,0.4588227700005518,15814,8717
50_1000_1_3_5,0.009016696996695828,0.7244812659992022,19896,13673
50_1000_1_4_5,0.017298012997343903,0.8835372810026456,21988,16917
50_1000_1_5_5,0.03681534800125519,0.8365102640018449,24330,19136
50_1000_2_1_5,0.0015917099990474526,0.18841502999930526,5796,5089
50_1000_2_2_5,0.00471620600001188,0.31960242000059225,9961,8721
50_1000_2_3_5,0.0087832579993119,0.6142543679998198,14634,13691
50_1000_2_4_5,0.016674984002747806,0.8313465320024989,17623,16928
50_1000_2_5_5,0.02361197599748266,0.9211169319969486,19884,19154
50_1000_3_1_5,0.003394968000066001,0.2008431109970843,4770,4570
50_1000_3_2_5,0.010826069003087468,0.3936264490002941,9612,9352
50_1000_3_3_5,0.015685995000239927,0.6773781670017343,13502,13162
50_1000_3_4_5,0.02859342399824527,0.663665542997478,17706,17306
50_1000_3_5_5,0.036440512998524355,0.8014210340006684,21278,20828
50_1000_4_1_5,0.0005475140023918357,0.1697647639994102,4570,4570
50_1000_4_2_5,0.002279857002577046,0.44718982500126003,9352,9352
50_1000_4_3_5,0.005097234999993816,0.5246296969999094,13162,13162
50_1000_4_4_5,0.01304276500013657,0.7752690220004297,17306,17306
50_1000_4_5_5,0.022376859000360128,0.870191703997989,20828,20828
100_50_1_1_5,0.0007296709991351236,0.027143921997776488,1145,395
100_50_1_2_5,0.0020285979990148917,0.055966673000511946,1587,786
100_50_1_3_5,0.003706032002810389,0.090010773998074,2093,1216
100_50_1_4_5,0.006040788000973407,0.1140654379996704,2441,1576
100_50_1_5_5,0.010046655999758514,0.16165797000212478,2347,2175
100_50_2_1_5,0.0005652889994962607,0.026812743999471422,504,396
100_50_2_2_5,0.0015993279994290788,0.06011394800225389,906,786
100_50_2_3_5,0.003583548001188319,0.09378221800216124,1352,1216
100_50_2_4_5,0.005759769999713171,0.11366729500150541,1722,1576
100_50_2_5_5,0.009732100999826798,0.15812105700024404,2272,2175
100_50_3_1_5,0.001145956000982551,0.027868922999914503,817,407
100_50_3_2_5,0.003389329998753965,0.058895016998576466,1411,831
100_50_3_3_5,0.0051308440015418455,0.09031955699902028,1932,1202
100_50_3_4_5,0.0080673439988459,0.1227848040034587,2497,1687
100_50_3_5_5,0.012714205997326644,0.15673773099842947,2978,2068
100_50_4_1_5,0.00010386199937784113,0.037671811998734483,407,407
100_50_4_2_5,0.0009462679990974721,0.11296844100070302,831,831
100_50_4_3_5,0.0023850039979151916,0.16702501300096628,1202,1202
100_50_4_4_5,0.0033376089995726943,0.14762495800096076,1687,1687
100_50_4_5_5,0.006001783000101568,0.26476195999930496,2068,2068
100_100_1_1_5,0.0020741530024679378,0.14455427500070073,2722,790
100_100_1_2_5,0.006369848000758793,0.1529867210010707,3403,1570
100_100_1_3_5,0.007233985998027492,0.1672394359993632,4142,2234
100_100_1_4_5,0.012652338999032509,0.2414527539986011,4819,3276
100_100_1_5_5,0.02103899299982004,0.41761206400042283,4976,4167
100_100_2_1_5,0.001315629000600893,0.05498997599715949,1008,796
100_100_2_2_5,0.0031903400013106875,0.12554624599943054,1811,1570
100_100_2_3_5,0.007876347001001704,0.19924685700243572,2473,2241
100_100_2_4_5,0.012185711002530297,0.2542116220029129,3566,3276
100_100_2_5_5,0.019918126999982633,0.35872737300087465,4411,4175
100_100_3_1_5,0.0031143209998845123,0.08028368999657687,1222,832
100_100_3_2_5,0.007979789999808418,0.18740761399749317,2211,1631
100_100_3_3_5,0.01121670499924221,0.261369936997653,3062,2352
100_100_3_4_5,0.028460989000450354,0.3293554709998716,4220,3420
100_100_3_5_5,0.02493254699948011,0.47262878800029284,5343,4443
100_100_4_1_5,0.000317924001137726,0.10763515299913706,832,832
100_100_4_2_5,0.0015523649999522604,0.12417903000095976,1631,1631
100_100_4_3_5,0.0031479409990424756,0.19119395300003816,2352,2352
100_100_4_4_5,0.006837354001618223,0.27773077900201315,3420,3420
100_100_4_5_5,0.015056186999572674,0.45821384099690476,4443,4443
100_500_1_1_5,0.00856336400102009,0.37403526999696624,11175,4554
100_500_1_2_5,0.021471104999363888,0.712299697999697,14912,8959
100_500_1_3_5,0.04354133399829152,1.066538606002723,19728,13385
100_500_1_4_5,0.06722192400047788,1.2834168660010619,22929,17206
100_500_1_5_5,0.0965110500001174,1.669113556999946,26463,20497
100_500_2_1_5,0.006883677997393534,0.3500448869999673,5403,4561
100_500_2_2_5,0.01888839900129824,0.7345030340002268,10083,8970
100_500_2_3_5,0.037757636000606,1.17251191700052,14512,13387
100_500_2_4_5,0.06287132799843675,1.4011350580003636,18494,17207
100_500_2_5_5,0.09146164900084841,1.5622845760008204,21826,20508
100_500_3_1_5,0.011419512000429677,0.4006676229982986,4952,4582
100_500_3_2_5,0.03236429099706584,0.7069058109991602,9201,8631
100_500_3_3_5,0.05798346700248658,0.9562858319986844,12952,12252
100_500_3_4_5,0.0909920250014693,1.3270319040020695,16707,15887
100_500_3_5_5,0.12065900699963095,1.6296990489972814,20603,19693
100_500_4_1_5,0.0013156160021026153,0.36511419999806094,4582,4582
100_500_4_2_5,0.005822266000905074,0.6746360329998424,8631,8631
100_500_4_3_5,0.015320490001613507,1.1370410880008421,12252,12252
100_500_4_4_5,0.03988896600276348,1.3659306529989408,15887,15887
100_500_4_5_5,0.07932044200060773,1.8615739260021655,19693,19693
100_1000_1_1_5,0.014436099998420104,0.6973421180009609,21538,9353
100_1000_1_2_5,0.04405413000131375,1.3298513039990212,30553,17951
100_1000_1_3_5,0.08726653999838163,2.205967114001396,42821,26883
100_1000_1_4_5,0.13806155799829867,2.8217859910000698,45810,34846
100_1000_1_5_5,0.21145002499906695,3.691295851000177,50973,39569
100_1000_2_1_5,0.01075642199793947,0.8924628729982942,10713,9395
100_1000_2_2_5,0.04885735800053226,2.3408063980023144,20438,17970
100_1000_2_3_5,0.10274458499770844,2.997276985002827,28814,26888
100_1000_2_4_5,0.18211725400033174,4.28658443400127,36285,34875
100_1000_2_5_5,0.2116341270011617,4.241010637000727,41106,39674
100_1000_3_1_5,0.025257970002712682,0.9169692840005155,9388,8998
100_1000_3_2_5,0.0838338819994533,1.8634006520005642,17535,16965
100_1000_3_3_5,0.16061389000242343,2.9716332649986725,27192,26502
100_1000_3_4_5,0.23868954199861037,3.8071947190001083,33697,32887
100_1000_3_5_5,0.35197336199780693,4.65030521099834,40603,39693
100_1000_4_1_5,0.0026090220017067622,0.9904249590035761,8998,8998
100_1000_4_2_5,0.011488280000776285,1.7860691090027103,16965,16965
100_1000_4_3_5,0.04442507799831219,2.890036589000374,26502,26502
100_1000_4_4_5,0.1262038319982821,4.463124328998674,32887,32887
100_1000_4_5_5,0.244942148001428,5.0980400439984805,39693,39693
500_50_1_1_5,0.10834199600139982,1.4397879620009917,5900,2147
500_50_1_2_5,0.3014812580004218,2.6255386439988797,8111,4322
500_50_1_3_5,0.6255688249984814,4.173588458001177,10227,6410
500_50_1_4_5,0.9983878589991946,5.2934900729997025,11913,8222
500_50_1_5_5,1.5014573720000044,6.909636967997358,12777,10820
500_50_2_1_5,0.07575554999857559,1.5233793430015794,2629,2147
500_50_2_2_5,0.2647044660006941,2.9479902950006363,4968,4322
500_50_2_3_5,0.4880922120028117,4.456563735002419,7139,6410
500_50_2_4_5,0.8401345170022978,5.110498891001043,8921,8222
500_50_2_5_5,1.379498878002778,7.201798129000963,11243,10820
500_50_3_1_5,0.150385880999238,1.4050208059998113,4218,2138
500_50_3_2_5,0.4304451610005344,2.6983448729988595,7090,4190
500_50_3_3_5,0.7756613109995669,3.5483099939992826,9723,6173
500_50_3_4_5,1.1118347640003776,5.838155037999968,12388,8308
500_50_3_5_5,1.638581780000095,7.097306135001418,15371,10821
500_50_4_1_5,0.009216378999553854,1.1313761589990463,2138,2138
500_50_4_2_5,0.06312987800265546,2.1452449899989006,4190,4190
500_50_4_3_5,0.17991525899924454,3.017161544001283,6173,6173
500_50_4_4_5,0.428981428998668,3.2842240919999313,8308,8308
500_50_4_5_5,0.8207490010026959,4.311749729000439,10821,10821
500_100_1_1_5,0.16979189199992106,1.5880518349986232,12563,4072
500_100_1_2_5,0.5328156539981137,3.590477097000985,16455,8372
500_100_1_3_5,1.0020428870011528,5.011583858999074,20925,12210
500_100_1_4_5,1.662302799999452,6.602169003999734,22659,16256
500_100_1_5_5,2.6295371119995252,8.403904441001941,25576,21153
500_100_2_1_5,0.12850018199969782,1.6222764099984488,5007,4072
500_100_2_2_5,0.40269205900040106,3.307619564999186,9630,8372
500_100_2_3_5,0.8007093519991031,4.979716469002597,13666,12210
500_100_2_4_5,1.2901756560022477,7.542424403996847,17476,16256
500_100_2_5_5,2.3723758380001527,9.518165690999012,22110,21153
500_100_3_1_5,0.22608199000023887,1.9374935749983706,6280,4280
500_100_3_2_5,0.7696553200003109,4.619802762998006,11213,8323
500_100_3_3_5,1.405877152003086,5.883624604997749,15823,12273
500_100_3_4_5,1.9334089459989627,6.582998142002907,20398,16308
500_100_3_5_5,2.976412840998819,10.019969081000454,26205,21655
500_100_4_1_5,0.015034366002510069,1.8087248430019827,4280,4280
500_100_4_2_5,0.11350865400163457,4.107928613997501,8323,8323
500_100_4_3_5,0.390467189001356,5.583031183999992,12273,12273
500_100_4_4_5,0.9298677709994081,7.231767453999055,16308,16308
500_100_4_5_5,1.6727742869989015,9.305653335999523,21655,21655
500_500_1_1_5,0.9322457929993107,9.346913254998071,62328,20239
500_500_1_2_5,3.341054233002069,18.412296182999853,79974,42668
500_500_1_3_5,5.81612073100041,32.27739018200009,103044,64710
500_500_1_4_5,11.658954811002332,41.200292827998055,114940,82254
500_500_1_5_5,15.062534428001527,54.52708339899982,128608,104567
500_500_2_1_5,0.8548492020017875,12.055293500001426,24446,20239
500_500_2_2_5,2.8230144870030927,31.574893970999256,48459,42672
500_500_2_3_5,6.5000729610001144,31.076617811999313,70918,64710
500_500_2_4_5,8.03882183099995,41.20268821300124,88937,82256
500_500_2_5_5,15.737888444000419,67.29083673399873,109432,104570
500_500_3_1_5,1.2979711450025206,9.56476640099936,23333,21313
500_500_3_2_5,3.9661410249973414,19.303897629997664,45417,42557
500_500_3_3_5,7.393145618996641,33.44758655999976,68573,65073
500_500_3_4_5,11.778542833999381,44.99818519999826,87322,83242
500_500_3_5_5,17.97314371000175,56.39682182699835,113028,108488
500_500_4_1_5,0.07902886200099601,11.625076636002632,21313,21313
500_500_4_2_5,0.6357546779981931,19.185364116001438,42557,42557
500_500_4_3_5,2.261168914999871,31.680093700000725,65073,65073
500_500_4_4_5,5.934866506999242,36.33365980800227,83242,83242
500_500_4_5_5,14.137047447999066,61.78835378200165,108488,108488
500_1000_1_1_5,2.406141862000368,24.92204736399799,122093,41405
500_1000_1_2_5,8.013296230001288,48.79585240099914,161592,84330
500_1000_1_3_5,15.86393878799936,78.82234234699717,204633,124456
500_1000_1_4_5,22.376746620997437,81.59259610300069,230711,171920
500_1000_1_5_5,34.80007360300078,94.21363419800036,252403,209557
500_1000_2_1_5,1.358096526000736,18.601508242001728,48883,41406
500_1000_2_2_5,5.211030102997029,42.6622027730009,96131,84338
500_1000_2_3_5,10.151254240998242,55.15506216600261,136708,124460
500_1000_2_4_5,16.325710255001468,71.02819517699754,182466,171922
500_1000_2_5_5,22.780918462001864,88.75500783200187,217026,209570
500_1000_3_1_5,2.5048932030003925,20.790582081001048,45303,43313
500_1000_3_2_5,8.477445395001268,36.40268301300239,86633,83723
500_1000_3_3_5,13.176891585000703,53.94370475800315,132833,129323
500_1000_3_4_5,21.371885507000115,79.40733784100303,174635,170575
500_1000_3_5_5,37.37663119100034,131.99424249000003,222195,217655
500_1000_4_1_5,0.18979051499991328,23.013926275001722,43313,43313
500_1000_4_2_5,1.5559886939990974,43.68684038699939,83723,83723
500_1000_4_3_5,4.674955440001213,66.32319387000098,129323,129323
500_1000_4_4_5,12.872845563000737,81.97066056599942,170575,170575
500_1000_4_5_5,21.656307143999584,97.94122819199765,217655,217655
